KO01	KO02	KO03	WT01	WT02	WT03
CRLF1!ENSG00000006016.10	44	28	21	26	33	26
OSBPL7!ENSG00000006025.11	1022	961	755	893	915	1083
TMEM98!ENSG00000006042.11	73	39	20	48	44	54
YBX2!ENSG00000006047.12	14	20	22	27	37	46
KRT33A!ENSG00000006059.3	0	0	0	0	0	0
MAP3K14!ENSG00000006062.13	2464	2272	1930	1645	1841	2285
ABCC8!ENSG00000006071.11	4	2	0	0	0	1
CACNG3!ENSG00000006116.3	0	1	0	0	0	0
TMEM132A!ENSG00000006118.14	391	350	284	373	376	461
AP2B1!ENSG00000006125.16	10574	8946	7537	7830	8750	9591
TAC1!ENSG00000006128.11	0	0	0	1	0	0
ZNF263!ENSG00000006194.9	3044	2726	1902	2305	2533	2855
CX3CL1!ENSG00000006210.6	1	0	3	0	0	0
SPATA20!ENSG00000006282.20	308	291	183	408	444	440
CACNA1G!ENSG00000006283.17	9	7	1	2	4	3
TNFRSF12A!ENSG00000006327.13	66	63	38	61	63	51
DLX6!ENSG00000006377.10	0	1	0	0	1	0
MAP3K9!ENSG00000006432.15	1754	1451	1223	1487	1850	1773
RALA!ENSG00000006451.7	4082	3104	1947	3440	3756	3907
BAIAP2L1!ENSG00000006453.13	680	605	497	535	649	625
KDM7A!ENSG00000006459.10	727	510	307	543	616	476
ETV1!ENSG00000006468.13	21	3	16	17	33	34
AGK!ENSG00000006530.15	2650	2059	1412	1955	2236	2182
ALDH3B1!ENSG00000006534.15	33	28	25	24	33	27
TTC22!ENSG00000006555.10	49	30	30	27	38	59
PHTF2!ENSG00000006576.16	7358	6119	3793	6484	7236	5871
CCL26!ENSG00000006606.8	0	0	0	0	0	0
FARP2!ENSG00000006607.13	2860	2342	1943	2750	3071	2881
USH1C!ENSG00000006611.15	0	0	0	0	0	0
GGCT!ENSG00000006625.17	1412	1119	731	1087	1216	1193
DBF4!ENSG00000006634.7	4378	3522	2462	3485	3728	3775
TBXA2R!ENSG00000006638.11	0	2	3	2	0	1
IFRD1!ENSG00000006652.13	2353	1766	1157	1950	2037	2063
LGALS14!ENSG00000006659.12	3	6	7	5	12	14
COX10!ENSG00000006695.10	1736	1489	1339	1234	1405	1601
GTF2IRD1!ENSG00000006704.10	2538	2178	1865	2405	2759	3129
PAF1!ENSG00000006712.14	5873	5375	4628	3916	4231	5483
VPS41!ENSG00000006715.15	2885	2315	1519	2306	2483	2427
ARHGAP44!ENSG00000006740.16	619	510	461	653	683	738
ELAC2!ENSG00000006744.18	13278	11825	9720	9242	10172	12812
SCIN!ENSG00000006747.14	5	4	2	4	1	2
ARSD!ENSG00000006756.15	1	0	0	0	1	0
PNPLA4!ENSG00000006757.11	547	470	393	397	457	592
MYH13!ENSG00000006788.12	0	0	0	1	1	1
ADIPOR2!ENSG00000006831.9	8712	7193	5222	7318	8193	7945
CDKL3!ENSG00000006837.11	56	45	29	40	46	51
UPP2!ENSG00000007001.12	0	0	0	0	0	0
PRSS21!ENSG00000007038.10	0	0	0	0	0	0
MARK4!ENSG00000007047.14	2580	2392	2274	2096	2323	2839
PROM1!ENSG00000007062.11	1	5	0	3	3	1
CCDC124!ENSG00000007080.10	5181	4718	4623	3603	3980	5766
CEACAM21!ENSG00000007129.17	203	175	179	111	153	167
PAFAH1B1!ENSG00000007168.12	10143	7759	5454	7795	8413	8318
NOS2!ENSG00000007171.16	2	0	5	0	0	2
DNAH9!ENSG00000007174.17	1	1	0	1	0	0
KIAA0100!ENSG00000007202.14	18991	15940	13575	13413	15595	15489
SLC13A2!ENSG00000007216.14	0	0	0	0	0	0
GAS7!ENSG00000007237.18	2098	1804	1507	2350	2485	2635
TRAPPC6A!ENSG00000007255.10	645	568	439	517	616	663
MATK!ENSG00000007264.13	0	1	0	0	0	0
CEACAM7!ENSG00000007306.14	0	0	0	0	0	0
CD79B!ENSG00000007312.12	24200	20157	17303	13968	14888	19226
SCN4A!ENSG00000007314.11	80	88	68	40	48	54
ST7L!ENSG00000007341.18	415	315	235	317	340	333
TKTL1!ENSG00000007350.16	138	91	94	80	90	74
PAX6!ENSG00000007372.20	261	261	150	228	212	217
RPUSD1!ENSG00000007376.7	4247	4197	3822	3253	3666	5094
RHBDF1!ENSG00000007384.15	33	41	37	29	28	22
LUC7L!ENSG00000007392.16	2107	1785	1199	1688	1781	2023
CACNA2D2!ENSG00000007402.11	14	22	11	13	18	16
BAIAP3!ENSG00000007516.13	43	63	44	51	47	50
TSR3!ENSG00000007520.3	2175	1858	1426	1547	1750	2514
PIGQ!ENSG00000007541.15	1567	1419	1083	1301	1397	1742
CRAMP1!ENSG00000007545.15	1396	1127	843	1149	1189	1143
TEAD3!ENSG00000007866.18	53	54	26	30	51	69
SELE!ENSG00000007908.15	2	1	1	0	3	0
DNAJC11!ENSG00000007923.15	4512	4100	3055	3252	3561	4028
FMO3!ENSG00000007933.12	13	11	10	1	6	4
MYLIP!ENSG00000007944.14	436	362	247	623	733	656
NOX1!ENSG00000007952.17	39	25	19	23	23	22
E2F2!ENSG00000007968.6	12161	10636	8692	7529	8251	9122
PSMB1!ENSG00000008018.8	6809	5314	3470	5262	5669	6519
SYN1!ENSG00000008056.12	2	4	1	1	1	2
JARID2!ENSG00000008083.13	1764	1704	1403	1481	1764	1755
CDKL5!ENSG00000008086.10	851	726	606	593	652	580
CAMK1G!ENSG00000008118.9	0	1	0	0	0	0
CDK11A!ENSG00000008128.22	79	74	60	73	73	87
NADK!ENSG00000008130.15	8985	7614	5865	6867	7591	8406
TFAP2B!ENSG00000008196.12	0	0	0	0	0	0
TFAP2D!ENSG00000008197.4	0	0	0	0	0	0
DLEC1!ENSG00000008226.19	13	7	6	7	17	16
CYTH3!ENSG00000008256.15	499	413	310	405	551	551
ADAM22!ENSG00000008277.14	434	374	230	396	463	361
SYPL1!ENSG00000008282.8	14455	10464	5015	12518	13708	12379
CYB561!ENSG00000008283.15	146	109	106	172	205	190
SPAG9!ENSG00000008294.20	9217	7121	4866	9019	9881	8518
CELSR3!ENSG00000008300.14	1070	993	795	1322	1406	1516
AASS!ENSG00000008311.14	166	127	103	163	222	162
PLEKHG6!ENSG00000008323.15	3	2	1	3	2	0
SS18L2!ENSG00000008324.10	1269	1040	644	1112	1131	1166
MPND!ENSG00000008382.15	733	647	549	471	499	639
MGST1!ENSG00000008394.12	5380	4913	4126	4207	5224	5333
CRY1!ENSG00000008405.11	0	0	0	0	0	0
PGLYRP1!ENSG00000008438.4	5	5	2	8	8	2
NFIX!ENSG00000008441.16	84	69	95	64	116	125
ST3GAL1!ENSG00000008513.14	447	430	338	416	490	444
MMP25!ENSG00000008516.16	19	16	11	13	11	19
IL32!ENSG00000008517.16	2	3	5	4	1	2
PKD1!ENSG00000008710.17	1793	1798	1372	1779	2180	2043
MAPK8IP2!ENSG00000008735.13	82	68	50	88	125	106
MED24!ENSG00000008838.17	7671	6842	5439	5541	6041	7469
RHOBTB2!ENSG00000008853.16	3481	3484	2976	3110	3522	3779
HEATR5B!ENSG00000008869.11	4027	3175	2137	3065	3524	3041
SEC62!ENSG00000008952.16	33556	26212	17379	24331	27330	25097
RPS20!ENSG00000008988.9	25006	21945	16086	19393	21917	28707
CSDE1!ENSG00000009307.15	48629	36718	24928	34631	38009	35469
UBE3C!ENSG00000009335.17	8672	6742	5258	5295	5645	5630
REV3L!ENSG00000009413.15	3418	2614	1988	2934	3202	2660
TENM1!ENSG00000009694.13	12	9	7	5	6	9
PAX7!ENSG00000009709.11	0	1	0	0	0	0
MASP2!ENSG00000009724.16	133	128	103	90	106	105
IYD!ENSG00000009765.14	0	0	0	0	0	0
FAM76A!ENSG00000009780.15	1073	898	667	833	877	847
TRAF3IP3!ENSG00000009790.14	10	9	4	2	7	8
POMT2!ENSG00000009830.11	750	706	491	732	790	825
VTA1!ENSG00000009844.15	3694	2858	2123	3064	3305	3414
MLXIPL!ENSG00000009950.15	1	1	1	4	1	5
BAZ1B!ENSG00000009954.10	23865	20309	16563	17264	19249	19942
RANBP9!ENSG00000010017.12	5015	4309	3011	3657	4041	4108
ETV7!ENSG00000010030.13	20	18	14	3	7	6
SPRTN!ENSG00000010072.15	1588	1264	851	1168	1276	1204
METTL13!ENSG00000010165.19	3441	2833	2132	2854	2921	3377
DYRK4!ENSG00000010219.13	326	309	219	231	251	310
ZNF207!ENSG00000010244.16	16859	15244	12441	11047	12309	14055
UQCRC1!ENSG00000010256.10	8515	7433	6227	6962	7679	8980
STARD3NL!ENSG00000010270.13	1352	1074	755	1151	1288	1273
CD9!ENSG00000010278.11	3511	2840	1963	2971	3505	3374
HHATL!ENSG00000010282.14	0	0	0	0	0	0
NCAPD2!ENSG00000010292.12	33366	27474	21617	21837	24332	26594
IFFO1!ENSG00000010295.19	1391	1211	904	1148	1131	1305
GIPR!ENSG00000010310.8	175	156	88	182	193	210
PHF7!ENSG00000010318.19	330	322	241	389	437	397
SEMA3G!ENSG00000010319.6	16	18	5	12	10	22
NISCH!ENSG00000010322.15	3813	3587	2747	3126	3287	3810
STAB1!ENSG00000010327.10	2	2	2	1	4	1
FUZ!ENSG00000010361.13	1126	966	748	824	929	1024
SLC6A13!ENSG00000010379.15	9	8	5	5	5	12
IDS!ENSG00000010404.17	6433	5301	4289	5208	6046	5484
PRSS3!ENSG00000010438.16	1	2	0	0	1	1
ZNF200!ENSG00000010539.11	669	503	363	654	698	693
CD4!ENSG00000010610.9	35	38	41	50	76	49
LRRC23!ENSG00000010626.14	403	392	314	280	359	375
BTK!ENSG00000010671.15	7699	6691	4941	6781	7469	8122
HFE!ENSG00000010704.18	101	84	73	119	130	144
SCMH1!ENSG00000010803.16	2741	2560	2318	2187	2518	2907
FYN!ENSG00000010810.17	3306	2772	2224	3699	4004	5017
HIVEP2!ENSG00000010818.8	4291	3530	3155	3028	3334	3344
FMO1!ENSG00000010932.15	12	8	4	16	20	11
TCEB3!ENSG00000011007.12	6553	5814	4701	4247	4740	5379
LYPLA2!ENSG00000011009.10	2527	2402	1874	1916	2142	2654
CLCN6!ENSG00000011021.21	2276	2512	1794	3077	3437	3250
MRC2!ENSG00000011028.13	3	9	6	6	8	9
NME1-NME2!ENSG00000011052.21	0	0	0	0	0	0
SLC6A7!ENSG00000011083.8	0	0	0	0	0	0
TSPAN9!ENSG00000011105.11	17	12	11	4	21	20
BTBD7!ENSG00000011114.14	3507	2794	2246	2285	2495	2328
APBA3!ENSG00000011132.11	1449	1403	1130	1071	1154	1436
MKS1!ENSG00000011143.16	545	412	307	408	437	511
ABHD5!ENSG00000011198.7	469	465	321	359	427	429
ANOS1!ENSG00000011201.10	0	0	0	0	0	0
AKAP8L!ENSG00000011243.17	3678	3271	2373	2495	2698	3371
MBTD1!ENSG00000011258.15	2211	1739	1131	1917	2127	1906
UTP18!ENSG00000011260.13	5648	4261	2963	4600	4936	4908
RNF216!ENSG00000011275.18	3730	2997	2411	2947	3175	3524
TTC19!ENSG00000011295.15	2567	2138	1493	2057	2272	2395
PTBP1!ENSG00000011304.17	59344	55360	47259	38745	43295	49525
DPF1!ENSG00000011332.19	567	515	450	444	515	641
SYT7!ENSG00000011347.9	6	1	1	2	10	3
LARS2!ENSG00000011376.9	3701	3038	2221	2822	3031	3229
PIK3C2A!ENSG00000011405.13	7414	5855	3601	5860	6509	5323
PLAUR!ENSG00000011422.11	0	0	0	1	2	3
ANLN!ENSG00000011426.10	4169	3309	2313	3069	3298	3143
WIZ!ENSG00000011451.17	4580	4262	3998	3113	3352	4094
RABGAP1!ENSG00000011454.16	3761	2995	2063	3193	3324	3352
DCN!ENSG00000011465.16	15	13	11	21	21	16
QPCTL!ENSG00000011478.11	3309	3347	2536	2709	3031	3650
PPP5C!ENSG00000011485.14	10660	9569	7415	7726	8610	9785
CEP68!ENSG00000011523.13	2070	1782	1183	1502	1700	1594
MAP4K3!ENSG00000011566.14	781	601	494	575	670	567
ZBTB32!ENSG00000011590.13	378	389	285	409	411	503
TYROBP!ENSG00000011600.11	7	7	11	2	4	3
TMEM159!ENSG00000011638.10	1333	891	555	1212	1383	1439
GABRA3!ENSG00000011677.12	0	0	0	0	0	0
BRCA1!ENSG00000012048.20	9714	7270	5417	7027	7758	7230
ERCC1!ENSG00000012061.15	2785	2667	2214	1917	2139	2838
CD22!ENSG00000012124.14	16474	16599	14236	15962	18386	19301
SEMA3B!ENSG00000012171.17	6	4	6	9	7	4
MBTPS2!ENSG00000012174.11	1158	936	631	1069	1246	1073
PRICKLE3!ENSG00000012211.12	895	846	870	716	787	1086
LTF!ENSG00000012223.12	2	0	1	0	1	1
EXTL3!ENSG00000012232.8	2290	1901	1608	1907	2219	2290
NR1H4!ENSG00000012504.13	1	0	2	2	0	5
ELOVL5!ENSG00000012660.13	11147	9215	6022	9151	10264	10291
ALOX5!ENSG00000012779.10	1148	1244	883	1186	1369	1273
KDM5D!ENSG00000012817.15	979	835	632	1079	1070	1111
CALCOCO1!ENSG00000012822.15	1580	1582	1326	1225	1234	1387
UBR7!ENSG00000012963.13	5252	4285	2908	3749	4283	4046
MAP4K5!ENSG00000012983.11	1536	1170	883	1130	1267	1222
EHD3!ENSG00000013016.14	2143	2000	1547	1578	1862	1903
PSMC4!ENSG00000013275.7	6036	5429	4646	5145	5778	7282
MAN2B2!ENSG00000013288.8	1787	1604	1386	1266	1422	1590
SLC7A14!ENSG00000013293.5	1	0	0	1	0	0
CLDN11!ENSG00000013297.10	2	4	5	4	6	8
SLC25A39!ENSG00000013306.15	8747	8140	7092	6351	7051	8790
MVP!ENSG00000013364.18	2109	1855	1443	1561	1817	1980
NUB1!ENSG00000013374.15	4367	3777	2986	3560	4029	4460
PGM3!ENSG00000013375.15	1793	1340	765	1527	1788	1655
RWDD2A!ENSG00000013392.7	253	203	134	216	326	263
CLK1!ENSG00000013441.15	2705	2263	1292	2059	2028	1983
POLR3B!ENSG00000013503.9	3263	2683	2000	2426	2767	2810
ANGEL1!ENSG00000013523.9	1952	1839	1437	1522	1689	1741
RNF14!ENSG00000013561.17	2097	1479	997	1658	1806	1683
DNASE1L1!ENSG00000013563.13	296	293	307	290	359	406
DDX11!ENSG00000013573.16	3353	3204	2607	2394	2544	2770
HEBP1!ENSG00000013583.8	194	139	107	152	215	185
GPRC5A!ENSG00000013588.5	0	1	2	4	0	0
MAMLD1!ENSG00000013619.13	4	2	0	3	2	3
CD6!ENSG00000013725.14	0	0	0	1	0	0
TACC3!ENSG00000013810.18	14698	12565	10027	8872	9559	11613
UFL1!ENSG00000014123.9	3115	2375	1447	2615	2803	2546
POLA2!ENSG00000014138.8	6948	6221	5067	4804	5287	6118
ZC3H3!ENSG00000014164.6	2067	2000	2010	1505	1715	2258
CAPN1!ENSG00000014216.15	6113	5523	4963	5332	6369	7259
ACPP!ENSG00000014257.15	548	526	327	431	490	425
MDH1!ENSG00000014641.17	7773	5835	3833	6399	7146	6509
SLC30A9!ENSG00000014824.13	5366	4051	2304	3509	4128	3567
MTMR11!ENSG00000014914.19	85	72	56	74	74	65
COX15!ENSG00000014919.12	3109	2419	1580	2590	2843	3000
CCDC88C!ENSG00000015133.18	15550	14200	12197	10738	11918	12679
YAF2!ENSG00000015153.14	1737	1337	733	1188	1437	1284
ZMYND11!ENSG00000015171.18	2072	1625	1062	1126	1249	1144
WAS!ENSG00000015285.10	5364	5230	5618	3974	4463	5967
DPEP1!ENSG00000015413.9	0	0	2	1	2	1
BID!ENSG00000015475.18	3891	3265	2340	2697	3069	3397
MATR3!ENSG00000015479.17	95	88	45	83	113	69
NPC1L1!ENSG00000015520.14	12	8	9	3	8	4
XYLT2!ENSG00000015532.9	796	798	643	628	741	867
RGPD5!ENSG00000015568.12	0	0	0	0	0	0
STMN4!ENSG00000015592.16	3	1	1	2	0	0
NUDCD3!ENSG00000015676.17	3745	3065	2370	3529	4086	3874
ISL1!ENSG00000016082.14	0	0	0	0	0	0
CHDH!ENSG00000016391.10	1791	1729	1213	1606	1921	1734
IL20RA!ENSG00000016402.13	0	0	0	1	0	0
CLCA1!ENSG00000016490.15	0	0	0	0	0	0
CLCA4!ENSG00000016602.9	1	1	0	0	1	0
GLT8D1!ENSG00000016864.16	2026	1725	1149	1645	1760	1695
ATP2C1!ENSG00000017260.19	9394	7029	4296	7613	7887	7502
IGF1!ENSG00000017427.15	15	17	12	13	15	15
SLC38A5!ENSG00000017483.14	1737	1578	1313	1575	1835	1989
RALBP1!ENSG00000017797.11	6435	5476	4276	4993	5545	5840
RUFY3!ENSG00000018189.12	3305	2636	1599	2909	3198	2806
CNTN1!ENSG00000018236.14	0	0	0	0	0	1
SLC11A1!ENSG00000018280.16	6	3	4	7	7	10
WWTR1!ENSG00000018408.14	44	36	32	30	45	48
AGPS!ENSG00000018510.12	6291	4463	2886	5580	5714	5337
CXorf56!ENSG00000018610.13	1878	1565	1051	1405	1591	1618
ATP1A2!ENSG00000018625.14	1	0	0	0	0	0
TTC27!ENSG00000018699.11	4021	3162	2274	3452	3623	4100
ZNF582!ENSG00000018869.16	211	145	100	142	192	180
VSIG2!ENSG00000019102.11	7	7	10	7	5	7
PHLDB1!ENSG00000019144.16	37	41	23	44	59	44
MARCO!ENSG00000019169.10	0	0	0	0	0	0
CYP24A1!ENSG00000019186.9	1	2	1	0	2	1
PRDM11!ENSG00000019485.12	710	586	555	891	956	1004
SYT13!ENSG00000019505.7	1013	734	527	727	821	769
SNAI2!ENSG00000019549.8	207	185	144	94	91	146
CD74!ENSG00000019582.14	141075	141048	145266	89750	106286	139402
HGF!ENSG00000019991.15	1	0	3	1	0	0
ZRANB1!ENSG00000019995.6	1043	908	670	937	940	1025
NCDN!ENSG00000020129.15	4506	4039	3429	3175	3669	4215
ADGRA2!ENSG00000020181.17	19	12	18	18	20	12
ZFP64!ENSG00000020256.19	2390	2231	1921	1633	1868	2306
MNAT1!ENSG00000020426.10	1613	1231	928	1303	1451	1595
SAMD4A!ENSG00000020577.13	360	318	258	351	323	310
RUNX3!ENSG00000020633.18	10874	10160	9947	8561	9585	12598
MRE11A!ENSG00000020922.12	3056	2437	1543	2087	2263	2116
PLEKHB1!ENSG00000021300.13	882	780	739	584	778	806
SERPINB1!ENSG00000021355.12	4716	3844	2731	4328	4628	5027
CYP3A43!ENSG00000021461.16	3	1	4	4	15	3
SLC7A9!ENSG00000021488.12	4	0	1	1	1	0
SPAST!ENSG00000021574.11	2647	1959	1307	2176	2385	2167
NRXN3!ENSG00000021645.18	0	0	3	0	1	0
OSBPL5!ENSG00000021762.19	0	0	0	2	2	1
AQR!ENSG00000021776.10	8366	6567	4878	5153	5537	5641
CPS1!ENSG00000021826.14	8	8	2	9	1	8
C8B!ENSG00000021852.12	0	0	0	0	0	0
FHL1!ENSG00000022267.16	52	51	37	45	69	56
RTFDC1!ENSG00000022277.12	4066	3004	2020	3267	3445	3656
GABRA1!ENSG00000022355.15	0	1	0	0	0	0
NLRP2!ENSG00000022556.15	1	1	0	1	1	2
SLC45A4!ENSG00000022567.9	661	623	492	507	551	594
RNF10!ENSG00000022840.15	12563	10927	8623	10076	11387	12717
ZNF839!ENSG00000022976.15	319	261	189	299	301	301
ZDHHC6!ENSG00000023041.11	1909	1570	1038	1759	1830	1943
GRAMD1B!ENSG00000023171.14	1956	2004	1591	1538	1932	1872
RNH1!ENSG00000023191.16	4587	4058	2914	3606	3979	4816
NDUFS1!ENSG00000023228.13	10805	8301	5804	8447	9631	8605
RB1CC1!ENSG00000023287.12	7090	5202	3240	5307	5749	5144
ERP44!ENSG00000023318.7	4870	4114	3321	3556	3852	4333
ALAS1!ENSG00000023330.14	6480	5719	4652	4690	5317	6115
BIRC3!ENSG00000023445.13	33127	25215	15182	27533	30070	25947
AKAP11!ENSG00000023516.8	7769	5875	4525	6257	6762	5448
GLRX2!ENSG00000023572.8	1049	661	421	808	889	865
SNAPC1!ENSG00000023608.4	554	450	275	564	609	564
DERA!ENSG00000023697.12	1867	1247	876	1372	1545	1402
STRAP!ENSG00000023734.10	13855	11288	8675	10292	11329	12137
ABCC2!ENSG00000023839.10	29	24	19	38	32	31
DEF6!ENSG00000023892.10	1477	1290	1009	1067	1189	1423
PLEKHO1!ENSG00000023902.13	1812	1602	1392	2047	2327	2902
GCLM!ENSG00000023909.9	2654	1970	1099	2171	2325	2310
UBR2!ENSG00000024048.10	5137	3867	2954	3685	4009	3784
EHD2!ENSG00000024422.11	1	1	2	0	0	2
DEPDC1!ENSG00000024526.16	4426	3360	2104	3599	3783	3621
